Altium Designer Pick and Place Locations
C:\dev\TinyProbe\wifi_6_board\hw\fabrication_files\Pick Place\Pick Place for wius(mcu_1v8_from_tinyprobe).txt

========================================================================================================================
File Design Information:

Date:       07.09.25
Time:       23:51
Revision:   18065c74d24231835de397d26b80ed2d0d0c2a87
Variant:    mcu_1v8_from_tinyprobe
Units used: mil

Designator Comment                         Layer       Footprint                               Center-X(mil) Center-Y(mil) Rotation Description                                                                                                
R35        22                              BottomLayer RESC1005X40X25LL05T10                   1147.638      310.039       270      ""                                                                                                         
R33        22                              BottomLayer RESC1005X40X25LL05T10                   1011.811      222.441       180      ""                                                                                                         
R32        22                              BottomLayer RESC1005X40X25LL05T10                   305.118       445.866       135      ""                                                                                                         
R31        22                              BottomLayer RESC1005X40X25LL05T10                   1119.094      310.039       270      ""                                                                                                         
R30        "Resistor 0R 0402 63 mW"        BottomLayer RESC1005X40X25ML05T10                   2074.803      389.764       180      "Chip Resistor, 0 Ohm, 0.063 W, -55 to 155 degC, 0402 (1005 Metric)"                                       
R29        "Resistor 0R 0402 63 mW"        BottomLayer RESC1005X40X25ML05T10                   2074.803      543.307       0        "Chip Resistor, 0 Ohm, 0.063 W, -55 to 155 degC, 0402 (1005 Metric)"                                       
R27        "Resistor 0R 0402 63 mW"        BottomLayer RESC1005X40X25ML05T10                   546.260       819.882       270      "Chip Resistor, 0 Ohm, 0.063 W, -55 to 155 degC, 0402 (1005 Metric)"                                       
R26        100k                            BottomLayer RESC1005X40X25NL05T10                   1988.189      303.150       0        ""                                                                                                         
C52        10u                             TopLayer    CAPC1608X100N                           1986.220      766.732       0        "Cap Cer 10UF 10V X7R 0603"                                                                                
C50        100n                            TopLayer    FP-GRT155-0_05-MFG                      1982.283      802.165       180      "Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"                                          
R14        "Resistor 0R 0402 63 mW"        BottomLayer RESC1005X40X25ML05T10                   1968.504      531.496       90       "Chip Resistor, 0 Ohm, 0.063 W, -55 to 155 degC, 0402 (1005 Metric)"                                       
R24        100k                            BottomLayer RESC1005X40X25NL05T10                   1747.047      267.716       270      ""                                                                                                         
R22        100k                            BottomLayer RESC1005X40X25NL05T10                   1652.559      267.716       270      ""                                                                                                         
C51        100n                            TopLayer    FP-GRT155-0_05-MFG                      275.591       775.591       270      "Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"                                          
U6         TPS22916CNYFPR                  TopLayer    FP-YFP0004-IPC_C                        1990.158      841.535       270      "IC PWR SWITCH P-CHAN 1:1 4DSBGA"                                                                          
U5         TPS62840YBGR                    TopLayer    FP-YBG0006-MFG                          1981.299      644.685       0        "ULTRA LOW IQ BUCK CONVERTER"                                                                              
R20        100k                            TopLayer    RESC1005X40X25NL05T10                   1941.929      823.819       90       ""                                                                                                         
L6         2.2u                            TopLayer    FP-DFE201612C-MFG                       2075.787      677.165       90       "Shielded Wirewound Inductor 2.2uH 20% 1800mA 0.116O 0806 (2016)"                                          
IC1        MAX17262HEWL+                   TopLayer    BGA9C40P3X3_153X153X69                  338.583       775.591       90       "Integrated Circuit"                                                                                       
FB2        70m                             TopLayer    FP-BLM15-0_05-MFG                       2051.181      787.402       90       "Chip Ferrite Bead, 0402, 80O @ 100MHz, 0.07O, 25%, 1.5A"                                                  
C49        10u                             TopLayer    CAPC1608X100N                           1986.220      720.472       0        "Cap Cer 10UF 10V X7R 0603"                                                                                
C48        10u                             TopLayer    CAPC1608X100N                           1913.681      674.258       270      "Cap Cer 10UF 10V X7R 0603"                                                                                
C47        470n                            TopLayer    FP-GRM15-0_1-MFG                        401.575       783.465       90       "CAP CER 0.47UF 10V X5R 0402"                                                                              
L5         2.2u                            TopLayer    FP-DFE201612C-MFG                       795.824       774.605       90       "Shielded Wirewound Inductor 2.2uH 20% 1800mA 0.116O 0806 (2016)"                                          
R19        "Resistor 0R 0402 63 mW"        BottomLayer RESC1005X40X25ML05T10                   77.756        334.646       180      "Chip Resistor, 0 Ohm, 0.063 W, -55 to 155 degC, 0402 (1005 Metric)"                                       
U4         TPS62840YBGR                    TopLayer    FP-YBG0006-MFG                          702.756       745.079       0        "ULTRA LOW IQ BUCK CONVERTER"                                                                              
Y2         FA-20H_40.0000MF10Z-K3          TopLayer    XTAL_FA-20H_40.0000MF10Z-K3             1105.316      821.851       270      ""                                                                                                         
R18        280                             TopLayer    RESC1005X40X25NL05T10                   1649.607      1047.244      0        ""                                                                                                         
R17        280                             TopLayer    RESC1005X40X25NL05T10                   1649.607      1011.812      0        ""                                                                                                         
R16        100k                            BottomLayer RESC1005X40X25NL05T10                   1715.551      267.716       270      ""                                                                                                         
R15        100k                            BottomLayer RESC1005X40X25NL05T10                   1684.054      267.716       270      ""                                                                                                         
PJ2        MOLEX_5051100892                TopLayer    MOLEX_5051100892                        1983.268      416.339       270      ""                                                                                                         
PJ1        MOLEX_5051100892                TopLayer    MOLEX_5051100892                        150.592       475.394       90       ""                                                                                                         
P2         BOOT1                           TopLayer    SLIN-GRPB031VWVN-RC_V                   1812.205      58.551        0        "Male Header, Pitch 1.27 mm, 1 x 3 Position, Height 4 mm, Tail Length 2.3 mm, -40 to 105 degC, RoHS, Bulk" 
C17        100n                            TopLayer    FP-GRT155-0_05-MFG                      1003.937      737.206       90       "Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"                                          
C15        100n                            TopLayer    FP-GRT155-0_05-MFG                      745.550       328.518       180      "Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"                                          
U2         "IC RF TXRX+MCU WIFI BLE 84QFN" TopLayer    SIWG917M110LGTBA                        1031.495      521.653       180      ""                                                                                                         
MP1        9774025151R                     TopLayer    9774025151                              529.528       551.182       0        "9774025151R Spacer Material: Steel Mounting: SMT Series: WA-SMSI Thread D: M2.5"                          
J3         2199230-5                       TopLayer    TE_2199230-5                            1700.788      551.181       270      "Conn Card Edge 67 POS 0.5mm Solder RA SMD Embossed T/R"                                                   
Y1         32.768KHZ                       TopLayer    XTAL_CM8V-T1A-32.768KHZ-7PF-20PPM-TA-QC 740.158       512.796       90       ""                                                                                                         
U1         SKY13317-373LF                  TopLayer    FP-SKY13317-373LF-MFG                   1412.403      702.617       0        "IC RF SWITCH SP3T 6GHZ 8MLP"                                                                              
SW2        B3U-1000P                       TopLayer    FP-B3U-1000P-MFG                        366.142       98.421        0        "SWITCH TACTILE SPST-NO 0.05A 12V"                                                                         
SW1        B3U-1000P                       TopLayer    FP-B3U-1000P-MFG                        366.142       1007.874      180      "SWITCH TACTILE SPST-NO 0.05A 12V"                                                                         
R13        267k                            TopLayer    RESC1005X40X25LL05T10                   779.528       704.724       180      ""                                                                                                         
R11        280                             BottomLayer RESC1005X40X25NL05T10                   925.604       865.157       0        ""                                                                                                         
R10        280                             BottomLayer RESC1005X40X25NL05T10                   925.604       835.629       0        ""                                                                                                         
R9         "Resistor 0R 0402 63 mW"        BottomLayer RESC1005X40X25ML05T10                   161.417       334.647       180      "Chip Resistor, 0 Ohm, 0.063 W, -55 to 155 degC, 0402 (1005 Metric)"                                       
R8         1k                              TopLayer    RESC1005X40X25LL05T10                   332.678       697.836       270      ""                                                                                                         
R7         1k                              TopLayer    RESC1005X40X25LL05T10                   361.105       697.835       270      ""                                                                                                         
R6         100k                            TopLayer    RESC1005X40X25NL05T10                   259.842       979.331       270      ""                                                                                                         
R5         100k                            BottomLayer RESC1005X40X25NL05T10                   845.472       539.370       180      ""                                                                                                         
R4         "Resistor 0R 0402 63 mW"        BottomLayer RESC1005X40X25ML05T10                   630.045       262.444       180      "Chip Resistor, 0 Ohm, 0.063 W, -55 to 155 degC, 0402 (1005 Metric)"                                       
R3         100                             TopLayer    RESC1005X40X25ML05T10                   258.730       74.056        90       ""                                                                                                         
R2         "Resistor 0R 0402 63 mW"        TopLayer    RESC1005X40X25ML05T10                   694.369       298.991       270      "Chip Resistor, 0 Ohm, 0.063 W, -55 to 155 degC, 0402 (1005 Metric)"                                       
R1         "Resistor 0R 0402 63 mW"        TopLayer    RESC1005X40X25ML05T10                   1209.645      709.645       180      "Chip Resistor, 0 Ohm, 0.063 W, -55 to 155 degC, 0402 (1005 Metric)"                                       
P1         BOOT0                           TopLayer    SLIN-GRPB031VWVN-RC_V                   1590.551      59.056        180      "Male Header, Pitch 1.27 mm, 1 x 3 Position, Height 4 mm, Tail Length 2.3 mm, -40 to 105 degC, RoHS, Bulk" 
L4         1u                              TopLayer    FP-DFE201210U-IPC_C                     745.550       394.462       270      "FIXED IND 1.0UH 2.0A 95MOHM"                                                                              
L3         3.3n                            TopLayer    FP-LQG15HH_02-IPC_C                     1340.551      578.600       180      "Multilayer type RF Inductor 3.3nH ±0.3nH 0.12O 800mA 0402"                                                
L2         3.4n                            TopLayer    FP-LQG15WH_02-IPC_C                     1313.976      609.113       180      "Multilayer type Inductor for Automotive 3.4nH ±0.1nH 0.09O 900mA 0402"                                    
L1         6.2n                            TopLayer    FP-LQG15WH_02-IPC_C                     1292.323      662.360       270      "Multilayer type Inductor for Automotive 6.2nH ±0.1nH 0.13O 700mA 0402"                                    
J2         DF52-2S-0.8H(21)                TopLayer    DF522S08H21                             186.220       775.591       270      Connector                                                                                                  
J1         SS5-10-3.00-X-D-K-XX            BottomLayer SAMTEC_SS5-10-3.00-X-D-K-XX             147.245       551.575       270      "0.50mm Socket Strip Assembly"                                                                             
FL1        2450BP15E0100E                  TopLayer    FIL_2450BP15E0100E                      1303.150      823.678       90       "Ceramic Filters Band Pass 1.5dB 50Ohm SMD 4Pin T/R"                                                       
FB1        70m                             TopLayer    FP-BLM15-0_05-MFG                       838.582       874.018       0        "Chip Ferrite Bead, 0402, 80O @ 100MHz, 0.07O, 25%, 1.5A"                                                  
D1         RED                             TopLayer    FP-APTB1615SURKCGKC-F01-MFG             944.881       850.394       180      "LED GREEN/RED CLEAR CHIP SMD"                                                                             
C46        10u                             TopLayer    CAPC1608X100N                           705.176       871.068       0        "Cap Cer 10UF 10V X7R 0603"                                                                                
C45        10u                             TopLayer    CAPC1608X100N                           705.100       824.541       0        "Cap Cer 10UF 10V X7R 0603"                                                                                
C44        10u                             TopLayer    CAPC1608X100N                           633.424       773.623       270      "Cap Cer 10UF 10V X7R 0603"                                                                                
C43        100n                            TopLayer    FP-GRT155-0_05-MFG                      987.205       310.039       270      "Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"                                          
C42        10n                             TopLayer    CAPC1005X55X25LL05T10                   259.843       1042.324      90       ""                                                                                                         
C41        10n                             BottomLayer CAPC1005X55X25LL05T10                   845.472       567.913       180      ""                                                                                                         
C38        1u                              TopLayer    FP-GRM155-0_05-MFG                      1077.756      733.269       90       "Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 1.0uF, X6S, 22%, 10%, 16V"                  
C37        100n                            TopLayer    FP-GRT155-0_05-MFG                      1303.150      521.654       0        "Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"                                          
C36        1u                              TopLayer    FP-GRM155-0_05-MFG                      1303.150      495.079       0        "Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 1.0uF, X6S, 22%, 10%, 16V"                  
C35        100n                            TopLayer    FP-GRT155-0_05-MFG                      1157.477      733.268       90       "Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"                                          
C34        100n                            TopLayer    FP-GRT155-0_05-MFG                      1130.906      733.268       90       "Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"                                          
C33        100n                            TopLayer    FP-GRT155-0_05-MFG                      1263.834      507.691       270      "Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"                                          
C32        1u                              TopLayer    FP-GRM155-0_05-MFG                      729.803       290.132       90       "Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 1.0uF, X6S, 22%, 10%, 16V"                  
C31        1u                              TopLayer    FP-GRM155-0_05-MFG                      1051.181      733.268       90       "Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 1.0uF, X6S, 22%, 10%, 16V"                  
C30        100n                            TopLayer    FP-GRT155-0_05-MFG                      1200.785      654.528       0        "Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"                                          
C29        1u                              TopLayer    FP-GRM155-0_05-MFG                      1200.787      681.102       0        "Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 1.0uF, X6S, 22%, 10%, 16V"                  
C28        100n                            TopLayer    FP-GRT155-0_05-MFG                      831.693       501.969       180      "Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"                                          
C26        1u                              TopLayer    FP-GRM155-0_05-MFG                      809.055       556.103       180      "Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 1.0uF, X6S, 22%, 10%, 16V"                  
C25        2.2u                            TopLayer    FP-GRM155-0_2-IPC_C                     812.008       614.172       180      "Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 2.2uF, X7S, 22%, 10%, 10V"                  
C24        1u                              TopLayer    FP-GRM155-0_05-MFG                      1013.780      310.039       270      "Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 1.0uF, X6S, 22%, 10%, 16V"                  
